adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,decade
False,/biMJPdS7bGW7HQTQrHvXxMqOqdC.jpg,"[10751, 35, 12, 14]",826510,en,Harold and the Purple Crayon,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life.",4.8885,/qtW6bWUEqfPLaD6KnetIlSG4adf.jpg,2024-07-31,Harold and the Purple Crayon,False,6.695,326,2020s
False,/e9o00kc7Fg5hA7SubfoZSseHOo2.jpg,"[16, 10751]",598331,en,Rumble,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father’s footsteps by coaching a loveable underdog monster into a champion.",4.8751,/3eZRgjfFWTpejRvRKyKe1EKgt9s.jpg,2021-02-12,Rumble,False,6.8,530,2020s
False,/dzfiE2VHY362dGI62XfZ2iI87CT.jpg,"[12, 14, 27, 9648]",539537,en,Fantasy Island,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.",4.8705,/8ZMrZGGW65ePWIgRn1260nA1uUm.jpg,2020-02-12,Fantasy Island,False,5.771,2573,2020s
False,/am782sUaTOGcEPEdUUjybwUZP1f.jpg,"[878, 53, 27]",520763,en,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",4.8081,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,2021-05-21,A Quiet Place Part II,False,7.45,7091,2020s
False,/zMrk2G3XsnfYKiIp1NEfdtvDyBH.jpg,"[12, 14, 28]",337401,en,Mulan,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",4.7171,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,2020-09-04,Mulan,False,6.845,6918,2020s
False,/1HzL603WOer58xtnrRYdSIL5K04.jpg,"[35, 12]",912908,en,Strays,"When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",4.689,/n1hqbSCtyBAxaXEl1Dj3ipXJAJG.jpg,2023-08-17,Strays,False,7.2,950,2020s
False,/naXUDz0VGK7aaPlEpsuYW8kNVsr.jpg,"[28, 53, 27]",514847,en,The Hunt,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",4.574,/wxPhn4ef1EAo5njxwBkAEVrlJJG.jpg,2020-03-11,The Hunt,False,6.628,3480,2020s
False,/jzWT0zd8U77fqWg5WgUfYaMzSFz.jpg,"[28, 878, 14]",526896,en,Morbius,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",4.5372,/6JjfSchsU6daXk2AKX8EEBjO3Fm.jpg,2022-03-30,Morbius,False,5.9,4646,2020s
False,/eSVu1FvGPy86TDo4hQbpuHx55DJ.jpg,"[28, 12, 878]",700391,en,65,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",4.5103,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,2023-03-02,65,False,5.966,2689,2020s
False,/ml8YBTJq7UkALfI022FWscCQuQW.jpg,"[14, 35, 10751]",642885,en,Hocus Pocus 2,"29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",4.4525,/7ze7YNmUaX81ufctGqt0AgHxRtL.jpg,2022-09-27,Hocus Pocus 2,False,7.171,1779,2020s
False,/dxjzHND7ZYNUnMWWU715y39ihPF.jpg,"[16, 12, 35, 10751]",366672,en,Paws of Fury: The Legend of Hank,"A hard-on-his-luck hound finds himself in a town full of cats in need of a hero to defend them from a ruthless villain's wicked plot to wipe their village off the map. With help from a reluctant mentor, our underdog must assume the role of town samurai and team up with the villagers to save the day.",4.452,/wMDUDwAArpfGdtTTZ25SfwngGwt.jpg,2022-07-14,Paws of Fury: The Legend of Hank,False,6.7,319,2020s
False,/vsZLf5uog08pAnfsMuDWrsLWUUF.jpg,"[16, 12, 35]",501929,en,The Mitchells vs. the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",4.4469,/mI2Di7HmskQQ34kz0iau6J1vr70.jpg,2021-04-22,The Mitchells vs. the Machines,False,7.861,3182,2020s
False,/pYp4rYNHp3n1dSUbPh3aHtf60wX.jpg,"[10751, 18, 36]",727306,en,Safety,"The story of Ray-Ray McElrathbey, a freshman football player for Clemson University, who secretly raised his younger brother on campus after his home life became too unsteady.",4.3511,/qakkhhfyPv9YAm7225oGL00YBbo.jpg,2020-12-11,Safety,False,7.528,195,2020s
False,/xAnSELun945cE4kFUD9mI7W3puI.jpg,"[27, 9648]",609972,en,Paranormal Activity: Next of Kin,Margot is a documentary filmmaker looking to meet her long-lost mother and extended family in a secluded Amish community. She and her film crew soon realize the family that welcomes them into their home might be hiding a sinister secret.,4.3154,/wRy3SwJFE55iL2bfKqECzP2qyrd.jpg,2021-10-29,Paranormal Activity: Next of Kin,False,6.1,730,2020s
False,/bqBY8uFoRMNRPhE39KTPIK1Dhim.jpg,[27],787761,en,Oracle,"A young woman accepts a job on a property with a traumatic history. Upon her arrival, she soon realizes that the nightmares of her childhood are connected to the evil in the house.",4.2689,/laOpPREcTlDukttovlUGJ3Wmtb6.jpg,2023-10-01,Oracle,False,6.328,102,2020s
False,/wjQXZTlFM3PVEUmKf1sUajjygqT.jpg,"[878, 28, 12]",581726,en,Infinite,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",4.264,/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg,2021-09-09,Infinite,False,6.6,2029,2020s
False,/hF5GdZpBeE5VCkIjXNfZD5Hvua9.jpg,"[14, 10751, 35]",1001884,en,Dashing Through the Snow,"Eddie Garrick is a good-hearted man who has lost his belief in the wonder of Christmas. While spending time with his nine-year-old daughter Charlotte on Christmas Eve, he befriends a mysterious man in a red suit named Nick.",4.2529,/AnfXxsoLBS6JDpu65vHsEvEcWSA.jpg,2023-11-16,Dashing Through the Snow,False,6.1,121,2020s
False,/dGGjuaUR253aAZ2Zhto2Y9TR9l6.jpg,"[16, 9648, 878, 28]",1299652,en,Watchmen: Chapter II,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",4.2459,/apzbE0pcmKz4RTWFVP7XXdg3VCZ.jpg,2024-11-25,Watchmen: Chapter II,False,7.366,146,2020s
False,/94QHrTXnxdmIyXWGUpOPe7PU8DL.jpg,"[16, 35, 10751]",897192,en,Diary of a Wimpy Kid: Rodrick Rules,"A new school year, his brother Rodrick teases him over and over and over and over again. Will Greg manage to get along with him? Or will a secret ruin everything?",4.2078,/iW6ixzkrvdrcxk0umiLZMtlSl9L.jpg,2022-12-01,Diary of a Wimpy Kid: Rodrick Rules,False,6.8,178,2020s
